q1	q2	dq1	dq2	ddq1	ddq2	tau1	tau2
-3.14	0.0	0.0	0.0	3.00000000000189	3.5828025477707004	13.250820953734044	3.6089084350418896
-3.14	0.0	0.0300000000000189	0.035828025477707005	5.999999999994899	7.165605095541405	16.683842386658153	4.763366989880833
-3.1397	0.0003582802547770701	0.0899999999999679	0.10748407643312105	6.0000000000037765	7.1656050955413955	16.68574435354696	4.764171495213882
-3.1388000000000003	0.0014331210191082804	0.15000000000000566	0.179140127388535	5.999999999999338	7.165605095541401	16.691425284585133	4.766581128628876
-3.1373	0.0032245222929936307	0.20999999999999905	0.250796178343949	5.999999999999336	7.1656050955414035	16.700814857199223	4.770583012357474
-3.1352	0.0057324840764331215	0.2699999999999924	0.32245222929936307	6.000000000003779	7.165605095541415	16.713798854382567	4.77615480812129
-3.1325000000000003	0.008957006369426753	0.3300000000000302	0.39410828025477723	5.999999999994925	7.165605095541398	16.730219035743534	4.783264614417805
-3.1292	0.012898089171974526	0.3899999999999795	0.46576433121019123	6.000000000003783	7.165605095541409	16.749872962857523	4.79187082491208
-3.1253	0.017555732484076436	0.4500000000000173	0.5374203821656053	5.999999999999342	7.165605095541398	16.772513784512565	4.801921950077947
-3.1208	0.022929936305732486	0.5100000000000107	0.6090764331210192	5.9999999999949125	7.165605095541409	16.797849989628844	4.813356405061488
-3.1157	0.029020700636942676	0.5699999999999598	0.6807324840764333	6.000000000003783	7.165605095541409	16.8255451366735	4.826102267222428
-3.1100000000000003	0.035828025477707005	0.6299999999999976	0.7523885350318473	6.000000000003783	7.165605095541342	16.85521757052966	4.840077007649328
-3.1037000000000003	0.043351910828025475	0.6900000000000354	0.8240445859872607	5.9999999999948015	7.165605095541354	16.88644013943494	4.855187201651393
-3.0968	0.05159235668789808	0.7499999999999833	0.8957006369426742	6.000000000003775	7.1656050955413875	16.91873992615476	4.871328223921664
-3.0893	0.06054936305732483	0.8100000000000211	0.9673566878980882	5.999999999994882	7.165605095541599	16.95159800940435	4.888383934871113
-3.0812	0.07022292993630572	0.86999999999997	1.0390127388535042	6.000000000003775	7.165605095541244	16.98444927361193	4.906226365529156
-3.0725000000000002	0.08061305732484077	0.9300000000000078	1.1106687898089167	5.999999999999323	7.165605095541532	17.016682286229248	4.924715409020479
-3.0632	0.09171974522292994	0.9900000000000011	1.182324840764332	5.999999999999334	7.165605095541244	17.047639264438473	4.9436985277378085
-3.0533	0.10354299363057327	1.0499999999999945	1.2539808917197446	5.999999999999334	7.1656050955416655	17.07661615409535	4.963010485941502
-3.0428	0.11608280254777073	1.1099999999999879	1.3256369426751613	6.0000000000037526	7.165605095540955	17.102862846119116	4.982473118571039
-3.0317000000000003	0.12933917197452235	1.1700000000000255	1.397292993630571	5.999999999994893	7.165605095541821	17.12558355691116	5.001895147807251
-3.02	0.14331210191082808	1.2299999999999744	1.4689490445859892	6.000000000003775	7.165605095541244	17.14393740133038	5.021072059859588
-3.0077000000000003	0.15800159235668798	1.2900000000000122	1.5406050955414017	5.999999999999334	7.165605095541532	17.157039188012803	5.03978605517534
-2.9948	0.173407643312102	1.3500000000000056	1.612261146496817	5.999999999999711	7.165605095541421	17.163960468888153	5.057806086228912
-2.9813	0.1895302547770702	1.4100000000000028	1.6839171974522313	5.999999999998951	7.1656050955410855	17.16373087548015	5.07488799758108
-2.9672	0.20636942675159248	1.4699999999999922	1.755573248407642	6.000000000003775	7.165605095541532	17.155339776374454	5.090774783729878
-2.9525	0.2239251592356689	1.53000000000003	1.8272292993630574	5.999999999994893	7.165605095540955	17.13773829087786	5.105196980707515
-2.9372	0.2421974522292995	1.589999999999979	1.898885350318467	6.0000000000037526	7.165605095542087	17.109841695003883	5.117873207903626
-2.9213	0.2611863057324842	1.6500000000000166	1.970541401273888	5.999999999994893	7.16560509554151	17.07053225601184	5.128510876734562
-2.9048	0.2808917197452231	1.7099999999999655	2.042197452229303	6.000000000003775	7.165605095540999	17.018662532561162	5.136807083066347
-2.8877	0.30131369426751614	1.7700000000000033	2.113853503184713	5.999999999999334	7.165605095541532	16.953059176523492	5.142449699906411
-2.87	0.3224522292993633	1.8299999999999967	2.1855095541401286	6.0000000000037526	7.165605095541488	16.87252727276505	5.145118686767978
-2.8517	0.3443073248407646	1.8900000000000343	2.2571656050955435	5.999999999994893	7.165605095540999	16.7758552512634	5.1444876311709775
-2.8327999999999998	0.36687898089172005	1.9499999999999833	2.3288216560509536	6.000000000003775	7.165605095541532	16.66182040498441	5.1402255369533725
-2.8133	0.3901671974522296	2.010000000000021	2.400477707006369	5.999999999994893	7.165605095541532	16.52919504399513	5.131998872474314
-2.7931999999999997	0.4141719745222933	2.06999999999997	2.4721337579617844	6.000000000003775	7.165605095541488	16.37675331406345	5.119473890216482
-2.7725	0.4388933121019112	2.130000000000008	2.5437898089171993	5.999999999999334	7.16560509554211	16.203278703476098	5.102319226789902
-2.7512	0.4643312101910832	2.1900000000000013	2.6154458598726205	5.916666666667675	7.066082802544254	15.916614262648217	5.049519126019503
-2.7293	0.4904856687898094	2.249166666666678	2.686106687898063	2.0833333333313924	2.4880573248437154	11.5379797442309	3.6174889796695546
-2.706808333333333	0.5173467356687901	2.269999999999992	2.7109872611465002	0.0	0.0	9.12473155187698	2.81949494851905
-2.684108333333333	0.5444566082802551	2.269999999999992	2.7109872611465002	4.440892098500622e-12	-1.1102230246251555e-12	8.989127865174899	2.771246487167563
-2.661408333333333	0.5715664808917201	2.2700000000000364	2.710987261146489	-8.881784197001244e-12	1.1102230246251555e-12	8.84461516073172	2.716851883444495
