q1	q2	dq1	dq2	ddq1	ddq2	tau1	tau2
0.0	0.0	2.7993875205644848e-15	0.0	-1.8629193493321283e-15	0.0	-9.810000000000002	-2.4525000000000006
-6.415811086465324e-07	0.0	-0.0001923251754469606	0.0	-0.038405349385377936	0.0	-9.84200131035172	-2.4625006060737338
-5.120707159718061e-06	0.0	-0.0007669109892596401	0.0	-0.07645189923721821	0.0	-9.873684797814422	-2.472403068950704
-1.7242021716630225e-05	0.0	-0.0017201625930388538	0.0	-0.11413827894331728	0.0	-9.90503065735621	-2.4822023659868897
-4.077415132822458e-05	0.0	-0.0030484714322661643	0.0	-0.15146311789146982	0.0	-9.936019257523125	-2.4918935179327515
-7.944956846754798e-05	0.0	-0.004748215246301078	0.0	-0.18842504546947045	0.0	-9.966631137617794	-2.5014715882278997
-0.00013696445447063213	0.0	-0.006815758068381049	0.0	-0.22502269106511374	0.0	-9.996847003559369	-2.5109316819660745
-0.00021697856247527298	0.0	-0.009247450225621475	0.0	-0.2612546840661944	0.0	-10.026647722471932	-2.520268944542248
-0.0003231150803598102	0.0	-0.01203962833901571	0.0	-0.2971196538605069	0.0	-10.056014316048786	-2.529478559993699
-0.0004589604936819065	0.0	-0.015188615323435035	0.0	-0.33261622983584616	0.0	-10.084927952740108	-2.5385557490469233
-0.0006280644486173276	0.0	-0.018690720387628697	0.0	-0.3677430413800066	0.0	-10.113369938811642	-2.547495766882309
-0.0008339396148987211	0.0	-0.022542239034223886	0.0	-0.40249871788078284	0.0	-10.141321708322424	-2.556293900628568
-0.0010800615487543963	0.0	-0.02673945305972572	0.0	-0.4368818887259695	0.0	-10.168764812069675	-2.5649454665989566
-0.0013698685558471034	0.0	-0.03127863055451728	0.0	-0.4708911833033614	0.0	-10.195680905549388	-2.5734458072814266
-0.0017067615542128139	0.0	-0.036156025902859615	0.0	-0.5045252310007531	0.0	-10.222051735981484	-2.581790288094909
-0.0020941039371994976	0.0	-0.04136787978289167	0.0	-0.5377826612059391	0.0	-10.24785912844863	-2.589974293924024
-0.002535221436405906	0.0	-0.04691041916663037	0.0	-0.570662103306714	0.0	-10.273084971198411	-2.5979932254446205
-0.0030334019846203464	0.0	-0.05277985731997057	0.0	-0.6031621866908726	0.0	-10.297711200158725	-2.605842495252624
-0.0035918955787594686	0.0	-0.058972393802685076	0.0	-0.6352815407462095	0.0	-10.32171978271679	-2.613517523808791
-0.004213914142807036	0.0	-0.06548421446842469	0.0	-0.6670187948605193	0.0	-10.345092700812634	-2.6210137352120815
-0.004902631390752712	0.0	-0.07231149146471803	0.0	-0.6983725784215966	0.0	-10.367811933398219	-2.6283265528144377
-0.005661182689530835	0.0	-0.07945038323297182	0.0	-0.7293415208172361	0.0	-10.389859438313973	-2.635451394689919
-0.006492664921959202	0.0	-0.08689703450847065	0.0	-0.7599242514352321	0.0	-10.411217133634803	-2.6423836689712052
-0.007400136349677843	0.0	-0.09464757632037699	0.0	-0.7901193996633799	0.0	-10.431866878538276	-2.649118769066639
-0.008386616476087808	0.0	-0.10269812599173138	0.0	-0.8199255948894735	0.0	-10.451790453747957	-2.655652068771064
-0.009455085909289928	0.0	-0.11104478713945226	0.0	-0.8493414665013077	0.0	-10.470969541605552	-2.6619789172838595
-0.010608486225023627	0.0	-0.11968364967433602	0.0	-0.8783656438866773	0.0	-10.489385705825798	-2.6680946341476615
-0.011849719829605674	0.0	-0.1286107898010569	0.0	-0.9069967564333767	0.0	-10.507020370988654	-2.6739945041214126
-0.01318164982286897	0.0	-0.1378222700181673	0.0	-0.935233433529201	0.0	-10.523854801823747	-2.679673772001471
-0.014607099861101326	0.0	-0.14731413911809738	0.0	-0.9630743045619441	0.0	-10.539870082342539	-2.6851276374046544
-0.01612885401998425	0.0	-0.15708243218715526	0.0	-0.9905179989194013	0.0	-10.555047094874157	-2.690351249527198
-0.017749656657531716	0.0	-0.1671231706055271	0.0	-1.0175631459893666	0.0	-10.569366499061292	-2.6953397018937255
-0.01947221227702895	0.0	-0.17743236204727697	0.0	-1.0442083751596352	0.0	-10.582808710873064	-2.700088027110469
-0.021299185389971227	0.0	-0.1880060004803468	0.0	-1.0704523158180017	0.0	-10.59535388169222	-2.7045911916370686
-0.0232332003790026	0.0	-0.19884006616655664	0.0	-1.09629359735226	0.0	-10.6069818775345	-2.70884409059141
-0.025276841360854726	0.0	-0.20993052566160433	0.0	-1.1217308491502058	0.0	-10.617672258458468	-2.7128415426020873
-0.027432652049285633	0.0	-0.22127333181506573	0.0	-1.146762700599633	0.0	-10.627404258224614	-2.716578284723176
